run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
product-caching,load-test.js,5,1,24.50753367206331,200.6762008,207.9167743,0,201.5635356,0
product-caching,load-test.js,5,2,23.76500214697835,206.3852652,246.67193529999977,0,206.63963799999996,0
product-caching,load-test.js,5,3,24.42781553465409,200.82366820000004,206.8262088,0,200.818115,0
product-caching,load-test.js,10,1,29.824772644479214,347.3559656,357.68029455,0,351.59960585,0
product-caching,load-test.js,10,2,29.9063884675448,344.058139,356.90334199999995,0,350.31517990000003,0
product-caching,load-test.js,10,3,29.422444589364524,348.312673,359.62629375,0,353.47815625,0
product-caching,load-test.js,25,1,30.79456299602109,828.4596240999999,876.2914274000001,0,869.9109655000001,0
product-caching,load-test.js,25,2,30.925762741372957,833.3394282,863.7088465999999,0,857.5490364,0
product-caching,load-test.js,25,3,30.89230428119203,828.164592,864.2695823999999,0,857.6150141999999,0
product-caching,load-test.js,50,1,31.1032636928916,1653.232667,1724.247515,0,1717.263747,0
product-caching,load-test.js,50,2,31.378383467239075,1635.962674,1702.0798719999998,0,1695.616683,0
product-caching,load-test.js,50,3,31.359068619514638,1631.636251,1696.204799,0,1690.2683714999998,0
