run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
php8.0,load-test.js,5,1,18.33157842853021,253.4552727,260.38345315,0,252.98894955,0
php8.0,load-test.js,5,2,18.332705502895536,253.43074670000001,259.114174,0,251.40323295000002,0
php8.0,load-test.js,5,3,17.709374489108146,281.086018,316.175369,0,301.613014,0
php8.0,load-test.js,10,1,22.33334935232704,433.97443699999997,449.7181434999998,0,441.56098289999994,0
php8.0,load-test.js,10,2,22.48049705921644,427.754766,450.8161355499999,0,444.9434282999999,0
php8.0,load-test.js,10,3,22.440173275613773,444.6811125,468.55348275,0,460.79698974999997,0
php8.0,load-test.js,25,1,23.308903555348177,1069.003835,1125.7673166,0,1117.6764104000001,0
php8.0,load-test.js,25,2,23.248243895766983,1063.0583966,1128.7355788999998,0,1121.5274522,0
php8.0,load-test.js,25,3,23.105379212965524,1065.1593862,1127.389795,0,1119.6181739999997,0
php8.0,load-test.js,50,1,23.477538219119477,2130.387866,2250.811465,0,2243.003541,0
php8.0,load-test.js,50,2,23.51929363827701,2143.2593732,2246.8815735499998,0,2237.15088435,0
php8.0,load-test.js,50,3,23.56395385243376,2143.376041,2237.5705992,0,2230.3645138,0
