run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
redis,load-test.js,5,1,19.65548520343863,245.3370652,252.0602698,0,246.31240559999998,0
redis,load-test.js,5,2,19.775871084442716,244.1496243,252.54784779999997,0,246.63699825,0
redis,load-test.js,5,3,19.65870826692969,243.6517234,252.23592819999996,0,246.0730572,0
redis,load-test.js,10,1,22.944830533544465,436.0229229,455.54296184999987,0,449.06547409999996,0
redis,load-test.js,10,2,23.056848601135627,435.3350025,458.53594075,0,452.08304825,0
redis,load-test.js,10,3,23.245281523198454,429.028473,450.054854,0,444.804718,0
redis,load-test.js,25,1,23.98994484577556,1077.214876,1119.239282,0,1112.980857,0
redis,load-test.js,25,2,24.02427505999248,1054.0159408,1112.2457396,0,1106.4726314,0
redis,load-test.js,25,3,24.080068904693523,1054.2990464,1119.0693784,0,1112.4741667,0
redis,load-test.js,50,1,24.032849515469827,2097.0673610000003,2209.9319832,0,2203.8594436,0
redis,load-test.js,50,2,24.21265117200087,2129.3939225,2212.0225943499995,0,2205.5560008999996,0
redis,load-test.js,50,3,24.184680014320133,2135.8413502,2267.1451384,0,2260.6951964,0
