run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
order-attribution,load-test.js,5,1,17.572918139517526,272.2462676,284.65151519999995,0,274.803537,0
order-attribution,load-test.js,5,2,16.821922026304794,305.52641100000005,324.07862,0,320.9066069000001,0
order-attribution,load-test.js,5,3,17.806757892029555,265.34263,272.59209825,0,266.23476675,0
order-attribution,load-test.js,10,1,20.65700112381077,477.43582660000004,494.5250597,0,488.7543094,0
order-attribution,load-test.js,10,2,19.9736887964827,518.649088,534.050666,0,522.985425,0
order-attribution,load-test.js,10,3,14.717905124618724,769.711942,833.991109,0,827.49922,0
order-attribution,load-test.js,25,1,14.745712148185655,1919.8658918,2006.4894956500002,0,2000.1961878000002,0
order-attribution,load-test.js,25,2,21.339701471455836,1183.5184818,1249.7753584,0,1238.7144892000001,0
order-attribution,load-test.js,25,3,21.28002621592467,1188.0756362,1239.5978317999998,0,1226.1674896999998,0
order-attribution,load-test.js,50,1,21.170509624581683,2358.5334270000003,2589.6373135,0,2579.85474525,0
order-attribution,load-test.js,50,2,21.522768540611445,2350.0053651000003,2465.084976949999,0,2454.187126499999,0
order-attribution,load-test.js,50,3,21.25755882305219,2370.1007107,2468.2348239499997,0,2462.8124052,0
