run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
JIT,load-test.js,5,1,32.74432663938008,143.97428779999998,148.4398027,0,142.73866815,0
JIT,load-test.js,5,2,32.78625842906457,143.5445848,148.2801332,0,142.25367060000002,0
JIT,load-test.js,5,3,32.065077178531006,149.32139089999998,158.27910625,0,154.18302215,0
JIT,load-test.js,10,1,41.997159529720406,229.0202944,240.75226519999998,0,234.3891126999999,0
JIT,load-test.js,10,2,41.66811606177373,231.47648800000002,244.52029525,0,239.714341,0
JIT,load-test.js,10,3,41.58537199126519,238.714309,256.3045469,0,251.02865799999995,0
JIT,load-test.js,25,1,43.61784275770884,579.019228,607.9284625,0,601.3507394999999,0
JIT,load-test.js,25,2,43.415984476212955,576.4676904,612.0317686,0,607.5029814,0
JIT,load-test.js,25,3,43.408908953149314,570.9015870000001,588.2206544999999,0,581.72621625,0
JIT,load-test.js,50,1,44.29819284543103,1148.0188772,1210.5719697999998,0,1206.7939304,0
JIT,load-test.js,50,2,44.00950037476801,1140.6817686,1216.3029858,0,1211.456972,0
JIT,load-test.js,50,3,44.22065403640512,1139.3672876,1219.5122546,0,1215.2763508,0
JIT,load-test.js,100,1,43.918624311085026,2275.2845352,2451.5673156,0,2448.3273956,0
JIT,load-test.js,100,2,42.77773697683715,2403.8127264,2511.995668,0,2506.9424003999998,0
JIT,load-test.js,100,3,43.08048997246455,2383.285357,2524.1695192,0,2519.5127933999997,0
