run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
docket,load-test.js,5,1,23.244938916060587,214.6814424,253.89587294999993,0,227.01328034999997,0
docket,load-test.js,5,2,23.80739648781033,209.7608796,214.9931582,0,209.95123189999998,0
docket,load-test.js,5,3,23.92084098372303,207.08416849999998,214.12363175000002,0,208.21309474999998,0
docket,load-test.js,10,1,28.65302343582126,364.59260650000004,376.00004345,0,367.04106399999995,0
docket,load-test.js,10,2,28.590301111949273,363.0448348,372.85250614999995,0,366.9672163,0
docket,load-test.js,10,3,28.67624261511084,362.39770619999996,372.94116840000004,0,366.59863459999997,0
docket,load-test.js,25,1,29.726789280641785,873.3525078,899.1307982999999,0,892.7491737,0
docket,load-test.js,25,2,29.609214970931802,868.173712,897.814032,0,891.637286,0
docket,load-test.js,25,3,29.558592179361476,867.7410751,891.9989511499999,0,886.00995375,0
docket,load-test.js,50,1,29.92807054673868,1703.7287935,1787.33619325,0,1780.81503225,0
docket,load-test.js,50,2,30.016266626935693,1697.4610074,1763.9921302,0,1757.1093681,0
docket,load-test.js,50,3,30.08631524201499,1723.5803988000002,1811.9279195999998,0,1803.0648316,0
