run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
sqlite,load-test.js,5,1,21.72952412600121,227.9978166,235.30440109999998,0,229.06400205,0
sqlite,load-test.js,5,2,20.946875864856423,248.9943568,293.5710623,0,278.60326784999995,0
sqlite,load-test.js,5,3,21.881442160209915,226.787486,234.75499250000001,0,228.686892,0
sqlite,load-test.js,10,1,25.786736078652623,396.93105049999997,406.4070695,0,400.800276,0
sqlite,load-test.js,10,2,25.72343149011994,400.4538553,414.39600794999996,0,405.6229057,0
sqlite,load-test.js,10,3,25.9789740249573,398.29602250000005,408.47144595,0,402.64831934999995,0
sqlite,load-test.js,25,1,26.84425169576098,947.3225475,976.4656267,0,970.4046580499999,0
sqlite,load-test.js,25,2,26.8321721115227,949.4125511999999,991.51444445,0,985.9684116,0
sqlite,load-test.js,25,3,26.99577321240243,954.577149,991.0658275499999,0,985.6930047999998,0
sqlite,load-test.js,50,1,27.18108927799246,1876.1285404999999,1964.4654075,0,1957.7313450000001,0
sqlite,load-test.js,50,2,27.084969143579954,1883.2101372,1970.9372557999998,0,1964.9683387999996,0
sqlite,load-test.js,50,3,27.23126989878921,1871.224071,1968.3936,0,1961.984228,0
