run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
opcache-mediocre,load-test.js,5,1,31.01991504513677,152.7607064,157.77003570000002,0,152.8961068,0
opcache-mediocre,load-test.js,5,2,30.78099733501367,152.7423526,157.38857910000002,0,152.40567479999999,0
opcache-mediocre,load-test.js,5,3,31.007788489013926,153.54460740000002,158.42386965,0,153.89441144999998,0
opcache-mediocre,load-test.js,10,1,38.560745149082805,250.03308950000002,265.89182274999996,0,261.32466525,0
opcache-mediocre,load-test.js,10,2,39.42449705084939,245.49212590000002,257.3000828,0,252.6394797,0
opcache-mediocre,load-test.js,10,3,39.140368364293536,243.63626720000002,252.2507426,0,248.25387614999997,0
opcache-mediocre,load-test.js,25,1,41.188472153678624,629.1745899,649.53373155,0,648.03510935,0
opcache-mediocre,load-test.js,25,2,41.19760163322529,605.9163046,641.6033922,0,636.6115180999999,0
opcache-mediocre,load-test.js,25,3,41.1213321525868,605.3997295,638.5173100499999,0,633.9153971999999,0
opcache-mediocre,load-test.js,50,1,41.43467919478387,1231.8386744,1290.69471985,0,1286.837525,0
opcache-mediocre,load-test.js,50,2,41.529220029736365,1205.1309094,1295.3084063000001,0,1290.8622481,0
opcache-mediocre,load-test.js,50,3,41.667404559722954,1205.7952252,1284.0283226499994,0,1279.1077780999997,0
opcache-mediocre,load-test.js,100,1,41.47117451993683,2426.745802,2559.73228,0,2554.907926,0
opcache-mediocre,load-test.js,100,2,41.831126887176715,2458.323171999999,2604.0558674499994,0,2598.9119784,0
opcache-mediocre,load-test.js,100,3,41.7991836819953,2417.249478,2545.530303,0,2541.14549175,0
