run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
memcached,load-test.js,5,1,21.351119922205715,220.51269,230.1915,0,224.4819734,0
memcached,load-test.js,5,2,22.110803632772384,215.4174654,221.7680905,0,215.79623395000002,0
memcached,load-test.js,5,3,22.257880022720347,213.74000160000003,220.4734589,0,214.45817515,0
memcached,load-test.js,10,1,26.633006429417556,368.4757255,398.41111715,0,388.74363619999997,0
memcached,load-test.js,10,2,26.45202959844976,365.80825400000003,383.88347565,0,376.8892916,0
memcached,load-test.js,10,3,26.633449183446075,361.3619594,373.37600599999996,0,367.1797646,0
memcached,load-test.js,25,1,27.926054751557064,900.3041016,951.3317299,0,941.1398755499999,0
memcached,load-test.js,25,2,27.888774395230516,892.8415407,947.0037798499999,0,940.5043995999998,0
memcached,load-test.js,25,3,27.844921833041113,895.7245248,947.11524445,0,941.1071115499999,0
memcached,load-test.js,50,1,28.080143489081152,1793.180093,1924.2606125,0,1916.889834,0
memcached,load-test.js,50,2,27.80591663533922,1823.2815694,1960.3265938,0,1954.8424404,0
memcached,load-test.js,50,3,27.855349657374013,1788.0396365000001,1904.7684495499998,0,1899.4773613999998,0
